key,name,lore
wCyojku3,"空色広場","カラフルなレンガが敷き詰められた、町でいちばん大きな広場。
広いだけで特に何もないけれど、いろんな人が集まってくる。"
CMjNcMxl,"真朱駅","町の外と中とを繋ぐ玄関口。線路がどこに繋がっているのかはよくわからない。
列車は『移動』の象徴であるので、パステルサイトの法則に従って様々な世界に行くことができる。"
RjgjCCEu,"深緑公園","さまざまな遊具やベンチなどが設置された、緑豊かな公園。
澄んだ空気に満ちている気がする。"
kciGJQKp,"喫茶店：錆色時計","店名どおりの丸時計が、少しだけ怪しいリズムで時を刻んでいる。
コーヒー豆と抽出用の機械、テーブルとそれを囲む椅子。カウンター席も設けられている。"
xial_1UH,"やまぶき雑貨店","少し狭めの店内、謎のオブジェや小瓶などが空間を埋めている。
大きく開けられた窓が陽の光を取り込んで、それらをきらきら輝かせている。"
vaN_T4Pi,"青竹診療所","町中のけがや病気をすべて請け負う万能の診療所。
パステルサイトの住人はあまり病気にかからないようで、仕事の幅に対して診療所の規模は小さい。"
X1cWqMl6,"白花学校","教育施設。小学校なのか中学校なのか高校なのかはよくわからない。
たくさんの教室を含む校舎が、校庭をぐるっと取り囲むような構造。"
_Gq_NwcL,"うるみ図書館","小説、実用書、雑誌など、いろんな本が納められた図書館。
少し薄暗く、静かな空気が漂っている。"
w-HOEPNI,"若葉温室","大きなガラスドームの中に、さまざまな植物が所狭しと伸びている。
見たことのないようなカラフルな花なども多い。"
vZJYVHpk,"秘色の路地","町の隙間を縫うような細い路地。
うまく歩けば近道になるだろうが、複雑さゆえに大抵は迷子を量産している。"
